timestamp_ms,current_A,stack_V,cell00_V,cell01_V,cell02_V,cell03_V,cell04_V,cell05_V
0x000031A2,0x00000000,0x41C73B64,0x40859168,0x408570A4,0x4085A1CB,0x40858106,0x40858937,0x40855810
0x000031AC,0x00000000,0x41C7374C,0x40858937,0x408570A4,0x4085A9FC,0x40858106,0x40858937,0x40855810
0x000031B6,0x00000000,0x41C73127,0x40859168,0x408578D5,0x4085A1CB,0x40858106,0x40858106,0x40855810
0x000031C0,0x00000000,0x41C73127,0x40859168,0x408578D5,0x4085A1CB,0x40858106,0x40858937,0x40855810
0x000031CA,0x00000000,0x41C7374C,0x40858937,0x408570A4,0x4085A1CB,0x40858106,0x40859168,0x40855810
0x000031D4,0x00000000,0x41C73127,0x40859168,0x408578D5,0x4085A9FC,0x40858106,0x40859168,0x40856042
0x000031DE,0x00000000,0x41C73127,0x40859168,0x408570A4,0x4085A1CB,0x40858937,0x40859168,0x40855810
0x000031E8,0x00000000,0x41C73127,0x40859168,0x408578D5,0x4085A9FC,0x40858106,0x40858937,0x40856042
0x000031F2,0x00000000,0x41C7374C,0x4085999A,0x408578D5,0x4085999A,0x40858106,0x40858937,0x40855810
0x000031FC,0x00000000,0x41C7374C,0x40858937,0x408570A4,0x4085A1CB,0x40858106,0x40858937,0x40855810
0x00003206,0x00000000,0x41C7374C,0x40858937,0x408578D5,0x4085A9FC,0x40858106,0x40858937,0x40855810
0x00003210,0x00000000,0x41C726E9,0x40859168,0x408570A4,0x4085A1CB,0x408578D5,0x40858937,0x40855810
0x0000321A,0x00000000,0x41C7374C,0x40859168,0x408578D5,0x4085A9FC,0x40858937,0x40858937,0x40855810
0x00003224,0x00000000,0x41C73127,0x40859168,0x408570A4,0x4085A1CB,0x40858106,0x40858937,0x40855810
0x0000322E,0x00000000,0x41C7374C,0x40859168,0x408578D5,0x4085A1CB,0x40858106,0x40859168,0x40856042
0x00003238,0x00000000,0x41C73127,0x40859168,0x408570A4,0x4085A1CB,0x40858106,0x40859168,0x40855810
0x00003242,0x00000000,0x41C722D1,0x40859168,0x408578D5,0x4085A9FC,0x40858106,0x40858937,0x40856042
0x0000324C,0x00000000,0x41C73127,0x40858937,0x408578D5,0x4085A9FC,0x40858937,0x40859168,0x40855810
0x00003257,0x00000000,0x41C73127,0x40858937,0x408578D5,0x4085A1CB,0x40858106,0x40858937,0x40855810
0x00003261,0x00000000,0x41C72D0E,0x40859168,0x408570A4,0x4085A1CB,0x40858106,0x40858937,0x40855810
0x0000326C,0x00000000,0x41C7374C,0x40859168,0x408570A4,0x4085A1CB,0x40858106,0x40858937,0x40855810
0x00003276,0x00000000,0x41C73127,0x40859168,0x408570A4,0x4085A9FC,0x40858106,0x40859168,0x40856042
0x00003281,0x00000000,0x41C7374C,0x40858937,0x408570A4,0x4085A9FC,0x40858937,0x40858937,0x40855810
0x0000328C,0x00000000,0x41C7374C,0x40859168,0x408570A4,0x4085A1CB,0x40858937,0x40858937,0x40855810
0x00003297,0x00000000,0x41C726E9,0x40859168,0x408570A4,0x4085A1CB,0x40858106,0x40858937,0x40855810
0x000032A2,0x00000000,0x41C7374C,0x40858937,0x408570A4,0x4085A1CB,0x40858106,0x40858937,0x40855810
0x000032AD,0x00000000,0x41C73127,0x40859168,0x408570A4,0x4085A9FC,0x40858937,0x40858937,0x40856042
0x000032B8,0x00000000,0x41C72D0E,0x40859168,0x408578D5,0x4085A1CB,0x40858106,0x40858937,0x40855810
0x000032C2,0x00000000,0x41C73B64,0x40858937,0x408570A4,0x4085A9FC,0x40858937,0x40858937,0x40855810
0x000032CC,0x00000000,0x41C72D0E,0x40858937,0x408570A4,0x4085A1CB,0x40858106,0x40858937,0x40855810
0x000032D6,0x00000000,0x41C73127,0x40859168,0x408570A4,0x4085A9FC,0x40858106,0x40858937,0x40855810
0x000032E0,0x00000000,0x41C72D0E,0x40859168,0x408570A4,0x4085A9FC,0x40858106,0x40858937,0x40855810
0x000032EA,0x00000000,0x41C73B64,0x40859168,0x408578D5,0x4085A9FC,0x40858937,0x40858937,0x40855810
0x000032F4,0x00000000,0x41C72D0E,0x40859168,0x408570A4,0x4085A9FC,0x40858106,0x40859168,0x40855810
0x000032FE,0x00000000,0x41C73127,0x40859168,0x408578D5,0x4085A9FC,0x40858106,0x40858937,0x40855810
0x00003308,0x00000000,0x41C72D0E,0x40858937,0x408578D5,0x4085A9FC,0x40858106,0x40858937,0x40855810
0x00003312,0x00000000,0x41C72D0E,0x40858937,0x408570A4,0x4085A1CB,0x40858106,0x40858937,0x40855810
0x0000331C,0x00000000,0x41C73127,0x40858937,0x408570A4,0x4085A1CB,0x40858106,0x40858937,0x40855810
